RackType,AZ,Compatible IPNs,Incompatible IPNs
SC.XYZAD.17B,PAD80,5,26
SC.XYZAD.17B,PAD89,5,26
SC.XYZD.25,IXD1,86,99
SC.XYZD.25,IXD12,86,161
SC.XYZD.25,IXD2,41,120
SC.XYZD.25,IXD202,41,120
SC.XYZD.25,IXD23,41,120
SC.XYZD.25,IXD250,86,75
SC.XYZD.25,IXD33,86,75
SC.XYZD.25,IXD4,41,120
SC.XYZD.25,IXD5,41,120
SC.XYZD.25,IXD53,41,120
SC.XYZD.25,IXD55,86,99
SC.XYZD.25,IXD6,86,99
SC.XYZD.25,IXD62,86,99
SC.XYZD.25,IXD66,16,145
SC.XYZD.25,IXD67,86,75
SC.XYZD.25,IXD69,41,120
SC.XYZD.25,IXD7,86,161
SC.XYZD.25,PAD1,86,99
SC.XYZD.25,PAD2,86,161
SC.XYZD.25,PAD4,86,120
SC.XYZD.25,PAD77,86,75
SC.XYZD.25,PAD79,86,75
SC.XYZD.25,PAD80,86,75
SC.XYZD.25,PAD89,86,75
SC.XYZD.25C,IXD1,52,66
SC.XYZD.25C,IXD12,52,98
SC.XYZD.25C,IXD2,18,80
SC.XYZD.25C,IXD202,18,80
SC.XYZD.25C,IXD23,18,80
SC.XYZD.25C,IXD250,52,46
SC.XYZD.25C,IXD33,52,46
SC.XYZD.25C,IXD4,18,80
SC.XYZD.25C,IXD5,18,80
SC.XYZD.25C,IXD53,18,80
SC.XYZD.25C,IXD55,52,66
SC.XYZD.25C,IXD6,52,66
SC.XYZD.25C,IXD62,52,66
SC.XYZD.25C,IXD66,0,98
SC.XYZD.25C,IXD67,52,46
SC.XYZD.25C,IXD69,18,80
SC.XYZD.25C,IXD7,52,98
SC.XYZD.25C,PAD1,52,66
SC.XYZD.25C,PAD2,52,98
SC.XYZD.25C,PAD4,52,80
SC.XYZD.25C,PAD77,52,46
SC.XYZD.25C,PAD79,52,46
SC.XYZD.25C,PAD80,52,46
SC.XYZD.25C,PAD89,52,46
SC.XYZD.25C2,IXD1,63,89
SC.XYZD.25C2,IXD12,63,132
SC.XYZD.25C2,IXD2,24,108
SC.XYZD.25C2,IXD202,24,108
SC.XYZD.25C2,IXD23,24,108
SC.XYZD.25C2,IXD250,63,69
SC.XYZD.25C2,IXD33,63,69
SC.XYZD.25C2,IXD4,24,108
SC.XYZD.25C2,IXD5,24,108
SC.XYZD.25C2,IXD53,24,108
SC.XYZD.25C2,IXD55,63,84
SC.XYZD.25C2,IXD6,63,89
SC.XYZD.25C2,IXD62,63,84
SC.XYZD.25C2,IXD66,0,132
SC.XYZD.25C2,IXD67,63,69
SC.XYZD.25C2,IXD69,24,108
SC.XYZD.25C2,IXD7,63,132
SC.XYZD.25C2,PAD1,63,84
SC.XYZD.25C2,PAD2,63,132
SC.XYZD.25C2,PAD4,63,108
SC.XYZD.25C2,PAD77,63,69
SC.XYZD.25C2,PAD79,63,69
SC.XYZD.25C2,PAD80,63,69
SC.XYZD.25C2,PAD89,63,69
SC.XYZDN.25,IXD1,114,168
SC.XYZDN.25,IXD12,114,239
SC.XYZDN.25,IXD2,44,195
SC.XYZDN.25,IXD202,44,195
SC.XYZDN.25,IXD23,44,195
SC.XYZDN.25,IXD250,114,125
SC.XYZDN.25,IXD33,114,125
SC.XYZDN.25,IXD4,44,195
SC.XYZDN.25,IXD5,44,195
SC.XYZDN.25,IXD53,44,195
SC.XYZDN.25,IXD55,114,168
SC.XYZDN.25,IXD6,114,168
SC.XYZDN.25,IXD62,114,168
SC.XYZDN.25,IXD66,0,239
SC.XYZDN.25,IXD67,114,125
SC.XYZDN.25,IXD69,44,195
SC.XYZDN.25,IXD7,114,239
SC.XYZDN.25,PAD1,114,154
SC.XYZDN.25,PAD2,114,239
SC.XYZDN.25,PAD4,114,195
SC.XYZDN.25,PAD77,114,125
SC.XYZDN.25,PAD79,114,125
SC.XYZDN.25,PAD80,114,125
SC.XYZDN.25,PAD89,114,125
SC.XYZDN.25C,IXD1,18,29
SC.XYZDN.25C,IXD12,18,41
SC.XYZDN.25C,IXD2,6,35
SC.XYZDN.25C,IXD202,6,35
SC.XYZDN.25C,IXD23,6,35
SC.XYZDN.25C,IXD250,18,23
SC.XYZDN.25C,IXD33,18,23
SC.XYZDN.25C,IXD4,6,35
SC.XYZDN.25C,IXD5,6,35
SC.XYZDN.25C,IXD53,6,35
SC.XYZDN.25C,IXD55,18,29
SC.XYZDN.25C,IXD6,18,29
SC.XYZDN.25C,IXD62,18,29
SC.XYZDN.25C,IXD66,0,41
SC.XYZDN.25C,IXD67,18,23
SC.XYZDN.25C,IXD69,6,35
SC.XYZDN.25C,IXD7,18,41
SC.XYZDN.25C,PAD1,18,29
SC.XYZDN.25C,PAD2,18,41
SC.XYZDN.25C,PAD4,18,35
SC.XYZDN.25C,PAD77,18,23
SC.XYZDN.25C,PAD79,18,23
SC.XYZDN.25C,PAD80,18,23
SC.XYZDN.25C,PAD89,18,23
SC.XYZHD.25,IXD1,1,1
SC.XYZHD.25,IXD12,1,1
SC.XYZHD.25,IXD2,0,1
SC.XYZHD.25,IXD202,0,1
SC.XYZHD.25,IXD23,0,1
SC.XYZHD.25,IXD250,1,0
SC.XYZHD.25,IXD33,1,0
SC.XYZHD.25,IXD4,0,1
SC.XYZHD.25,IXD5,0,1
SC.XYZHD.25,IXD53,0,1
SC.XYZHD.25,IXD55,1,1
SC.XYZHD.25,IXD6,1,1
SC.XYZHD.25,IXD62,1,1
SC.XYZHD.25,IXD66,0,1
SC.XYZHD.25,IXD67,1,0
SC.XYZHD.25,IXD69,0,1
SC.XYZHD.25,IXD7,1,1
SC.XYZHD.25,PAD1,1,1
SC.XYZHD.25,PAD2,1,1
SC.XYZHD.25,PAD4,1,1
SC.XYZHD.25,PAD77,1,0
SC.XYZHD.25,PAD79,1,0
SC.XYZHD.25,PAD80,1,0
SC.XYZHD.25,PAD89,1,0
SC.XYZHN.25,IXD1,27,51
SC.XYZHN.25,IXD12,27,63
SC.XYZHN.25,IXD2,8,55
SC.XYZHN.25,IXD202,8,55
SC.XYZHN.25,IXD23,8,55
SC.XYZHN.25,IXD250,27,36
SC.XYZHN.25,IXD33,27,36
SC.XYZHN.25,IXD4,8,55
SC.XYZHN.25,IXD5,8,55
SC.XYZHN.25,IXD53,8,55
SC.XYZHN.25,IXD55,27,51
SC.XYZHN.25,IXD6,27,51
SC.XYZHN.25,IXD62,27,51
SC.XYZHN.25,IXD66,0,63
SC.XYZHN.25,IXD67,27,36
SC.XYZHN.25,IXD69,8,55
SC.XYZHN.25,IXD7,27,63
SC.XYZHN.25,PAD1,27,45
SC.XYZHN.25,PAD2,27,63
SC.XYZHN.25,PAD4,27,55
SC.XYZHN.25,PAD77,27,36
SC.XYZHN.25,PAD79,27,36
SC.XYZHN.25,PAD80,27,36
SC.XYZHN.25,PAD89,27,36
SC.XYZN.25,IXD1,116,178
SC.XYZN.25,IXD12,116,249
SC.XYZN.25,IXD2,44,205
SC.XYZN.25,IXD202,44,205
SC.XYZN.25,IXD23,44,205
SC.XYZN.25,IXD250,116,133
SC.XYZN.25,IXD33,116,133
SC.XYZN.25,IXD4,44,205
SC.XYZN.25,IXD5,44,205
SC.XYZN.25,IXD53,44,205
SC.XYZN.25,IXD55,116,163
SC.XYZN.25,IXD6,116,178
SC.XYZN.25,IXD62,116,163
SC.XYZN.25,IXD66,0,249
SC.XYZN.25,IXD67,116,133
SC.XYZN.25,IXD69,44,205
SC.XYZN.25,IXD7,116,249
SC.XYZN.25,PAD1,116,163
SC.XYZN.25,PAD2,116,249
SC.XYZN.25,PAD4,116,205
SC.XYZN.25,PAD77,116,133
SC.XYZN.25,PAD79,116,133
SC.XYZN.25,PAD80,116,133
SC.XYZN.25,PAD89,116,133
SC.XYZN.25C,IXD1,3,4
SC.XYZN.25C,IXD12,3,6
SC.XYZN.25C,IXD2,1,5
SC.XYZN.25C,IXD202,1,5
SC.XYZN.25C,IXD23,1,5
SC.XYZN.25C,IXD250,3,3
SC.XYZN.25C,IXD33,3,3
SC.XYZN.25C,IXD4,1,5
SC.XYZN.25C,IXD5,1,5
SC.XYZN.25C,IXD53,1,5
SC.XYZN.25C,IXD55,3,4
SC.XYZN.25C,IXD6,3,4
SC.XYZN.25C,IXD62,3,4
SC.XYZN.25C,IXD66,0,6
SC.XYZN.25C,IXD67,3,3
SC.XYZN.25C,IXD69,1,5
SC.XYZN.25C,IXD7,3,6
SC.XYZN.25C,PAD1,3,4
SC.XYZN.25C,PAD2,3,6
SC.XYZN.25C,PAD4,3,5
SC.XYZN.25C,PAD77,3,3
SC.XYZN.25C,PAD79,3,3
SC.XYZN.25C,PAD80,3,3
SC.XYZN.25C,PAD89,3,3
SC.XYZNX.25,IXD1,35,45
SC.XYZNX.25,IXD12,35,65
SC.XYZNX.25,IXD2,10,55
SC.XYZNX.25,IXD202,10,55
SC.XYZNX.25,IXD23,10,55
SC.XYZNX.25,IXD250,35,30
SC.XYZNX.25,IXD33,35,30
SC.XYZNX.25,IXD4,10,55
SC.XYZNX.25,IXD5,10,55
SC.XYZNX.25,IXD53,10,55
SC.XYZNX.25,IXD55,35,45
SC.XYZNX.25,IXD6,35,45
SC.XYZNX.25,IXD62,35,45
SC.XYZNX.25,IXD66,0,65
SC.XYZNX.25,IXD67,35,30
SC.XYZNX.25,IXD69,10,55
SC.XYZNX.25,IXD7,35,65
SC.XYZNX.25,PAD1,35,42
SC.XYZNX.25,PAD2,35,65
SC.XYZNX.25,PAD4,35,52
SC.XYZNX.25,PAD77,35,30
SC.XYZNX.25,PAD79,35,30
SC.XYZNX.25,PAD80,35,30
SC.XYZNX.25,PAD89,35,30
SC.XYZZ.25C,IXD1,10,30
SC.XYZZ.25C,IXD12,10,40
SC.XYZZ.25C,IXD2,0,40
SC.XYZZ.25C,IXD202,0,40
SC.XYZZ.25C,IXD23,0,40
SC.XYZZ.25C,IXD250,10,30
SC.XYZZ.25C,IXD33,10,30
SC.XYZZ.25C,IXD4,0,40
SC.XYZZ.25C,IXD5,0,40
SC.XYZZ.25C,IXD53,0,40
SC.XYZZ.25C,IXD55,10,30
SC.XYZZ.25C,IXD6,10,30
SC.XYZZ.25C,IXD62,10,30
SC.XYZZ.25C,IXD66,0,40
SC.XYZZ.25C,IXD67,10,30
SC.XYZZ.25C,IXD69,0,40
SC.XYZZ.25C,IXD7,10,40
SC.XYZZ.25C,PAD1,10,30
SC.XYZZ.25C,PAD2,10,40
SC.XYZZ.25C,PAD4,10,40
SC.XYZZ.25C,PAD77,10,30
SC.XYZZ.25C,PAD79,10,30
SC.XYZZ.25C,PAD80,10,30
SC.XYZZ.25C,PAD89,10,30
SC.XYZZD.25C,IXD1,10,30
SC.XYZZD.25C,IXD12,10,40
SC.XYZZD.25C,IXD2,0,40
SC.XYZZD.25C,IXD202,0,40
SC.XYZZD.25C,IXD23,0,40
SC.XYZZD.25C,IXD250,10,30
SC.XYZZD.25C,IXD33,10,30
SC.XYZZD.25C,IXD4,0,40
SC.XYZZD.25C,IXD5,0,40
SC.XYZZD.25C,IXD53,0,40
SC.XYZZD.25C,IXD55,10,30
SC.XYZZD.25C,IXD6,10,30
SC.XYZZD.25C,IXD62,10,30
SC.XYZZD.25C,IXD66,0,40
SC.XYZZD.25C,IXD67,10,30
SC.XYZZD.25C,IXD69,0,40
SC.XYZZD.25C,IXD7,10,40
SC.XYZZD.25C,PAD1,10,30
SC.XYZZD.25C,PAD2,10,40
SC.XYZZD.25C,PAD4,10,40
SC.XYZZD.25C,PAD77,10,30
SC.XYZZD.25C,PAD79,10,30
SC.XYZZD.25C,PAD80,10,30
SC.XYZZD.25C,PAD89,10,30
